gene_symbol,mrna_hl_h
ANKRD44,4.27586206896552
ANKRD46,2.4390243902439
ANKRD49,2.1505376344086
ANKRD50,2.4390243902439
ANKRD54,5.73333333333333
ANKRD9,4.27906976744186
ANKS1A,3.57142857142857
ANKS1B,3.84615384615385
ANKS3,3.07692307692308
ANKS6,6.4
ANKZF1,3.03030303030303
ANLN,6.72
ANO10,8.0
ANO4,3.7037037037037
ANO6,9.62962962962963
ANO8,3.2258064516129
ANOS1,9.57575757575758
ANP32A,4.0
ANP32B,4.0
ANP32CP,7.24324324324324
ANP32E,9.09090909090909
ANPEP,20.6896551724138
ANTKMT,5.05263157894737
ANTXR1,11.7241379310345
ANXA1,17.3333333333333
ANXA11,12.3636363636364
ANXA2,24.0
ANXA2R,3.17460317460317
ANXA3,24.0
ANXA4,3.50877192982456
ANXA5,24.0
ANXA6,24.0
ANXA7,13.1428571428571
ANXA9,3.50877192982456
AOC2,2.85714285714286
AOPEP,2.63157894736842
AP1AR,3.2258064516129
AP1B1,21.7142857142857
AP1G1,5.92
AP1G2,2.73972602739726
AP1M1,6.92307692307692
AP1M2,12.375
AP1S1,20.2758620689655
AP1S2,3.50877192982456
AP1S3,3.2258064516129
AP2A1,18.1935483870968
AP2A2,3.50877192982456
AP2B1,24.0
AP2M1,24.0
AP2S1,24.0
AP3B1,14.4
AP3D1,11.3333333333333
AP3M1,6.54545454545454
AP3M2,2.66666666666667
AP3S1,12.0
AP3S2,3.57142857142857
AP4B1,3.63636363636364
AP4E1,3.7037037037037
AP4M1,3.07692307692308
AP4S1,2.94117647058824
AP5B1,2.46913580246914
AP5M1,4.14285714285714
AP5S1,2.94117647058824
AP5Z1,3.33333333333333
APAF1,3.38983050847458
APBA3,5.375
APBB2,3.17460317460317
APBB3,2.53164556962025
APC,5.28571428571429
APC2,5.71428571428571
APEH,3.57142857142857
APEX1,7.04761904761905
APEX2,3.50877192982456
APH1A,10.0740740740741
APH1B,2.85714285714286
API5,8.42857142857143
APIP,11.1111111111111
APLN,2.32558139534884
APLP1,24.0
APLP2,24.0
APMAP,14.4
APOBEC3B,16.5882352941176
APOBEC3C,10.7826086956522
APOC1,8.66666666666667
APOL2,3.125
APOO,16.5
APOOL,4.0
APP,24.0
APPBP2,3.50877192982456
APPL1,5.66666666666667
APPL2,4.32
APRG1,2.12765957446809
APRT,24.0
APTX,5.23076923076923
AQP11,2.32558139534884
AQP3,10.2857142857143
AQR,8.46153846153846
AR,3.50877192982456
ARAF,8.0
ARAP2,2.77777777777778
ARAP3,3.63636363636364
ARB2A,3.125
ARCN1,7.65217391304348
AREL1,4.52173913043478
ARF1,10.4285714285714
ARF3,10.6285714285714
ARF4,11.7073170731707
ARF5,24.0
ARF6,2.53164556962025
ARFGAP1,2.94117647058824
ARFGAP2,4.0
ARFGAP3,6.54545454545454
ARFGEF1,3.27868852459016
ARFGEF2,4.57142857142857
ARFIP1,3.27868852459016
ARFIP2,9.03225806451613
ARFRP1,2.5974025974026
ARG2,15.0857142857143
ARGLU1,2.35294117647059
ARHGAP1,9.38461538461539
ARHGAP10,2.7027027027027
ARHGAP11A,3.27868852459016
ARHGAP11B,2.5974025974026
ARHGAP12,2.77777777777778
ARHGAP17,4.0
ARHGAP18,3.2258064516129
ARHGAP19,6.46153846153846
ARHGAP21,3.27868852459016
ARHGAP22,2.4390243902439
ARHGAP26,3.50877192982456
ARHGAP27,2.89855072463768
ARHGAP29,3.07692307692308
ARHGAP31,3.17460317460317
ARHGAP32,5.17647058823529
ARHGAP35,5.69230769230769
ARHGAP39,3.38983050847458
ARHGAP44,3.07692307692308
ARHGAP45,5.14285714285714
ARHGAP5,3.44827586206897
ARHGAP9,10.8333333333333
ARHGDIA,9.6
ARHGEF1,8.64
ARHGEF10,3.63636363636364
ARHGEF10L,2.94117647058824
ARHGEF11,5.45454545454546
ARHGEF12,12.0
ARHGEF16,5.66666666666667
ARHGEF17,3.125
ARHGEF18,6.89655172413793
ARHGEF19,3.33333333333333
ARHGEF2,3.03030303030303
ARHGEF25,6.16216216216216
ARHGEF26,2.7027027027027
ARHGEF3,3.07692307692308
ARHGEF39,3.77358490566038
ARHGEF4,3.27868852459016
ARHGEF40,4.22222222222222
ARHGEF7,2.77777777777778
ARID1A,3.77358490566038
ARID1B,3.44827586206897
ARID2,3.27868852459016
ARID3A,2.89855072463768
ARID3B,2.27272727272727
ARID4A,2.63157894736842
ARID4B,2.38095238095238
ARID5A,2.77777777777778
ARID5B,2.22222222222222
ARIH1,2.98507462686567
ARIH2,7.42857142857143
ARK2C,2.22222222222222
ARK2N,2.56410256410256
ARL1,8.4
ARL13B,2.77777777777778
ARL14EP,2.17391304347826
ARL15,2.66666666666667
ARL16,8.88888888888889
ARL17A,2.27272727272727
ARL2,24.0
ARL2BP,9.2
ARL3,13.0434782608696
ARL4A,2.17391304347826
ARL4D,2.10526315789474
ARL5A,8.12121212121212
ARL5B,2.53164556962025
ARL6,3.50877192982456
ARL6IP1,8.31578947368421
ARL6IP4,3.7037037037037
ARL6IP5,10.5333333333333
ARL6IP6,5.48571428571429
ARL8A,3.44827586206897
ARL8B,8.0
ARL9,3.03030303030303
ARLN,24.0
ARMC1,3.84615384615385
ARMC10,6.57142857142857
ARMC2,21.0
ARMC5,3.07692307692308
ARMC6,6.08
ARMC7,2.5
ARMC8,2.77777777777778
ARMC9,6.37037037037037
ARMCX2,3.77358490566038
ARMCX3,4.27586206896552
ARMCX5,3.17460317460317
ARMCX6,2.4390243902439
ARMH1,10.7906976744186
ARMH3,5.88235294117647
ARMH4,24.0
ARNT,8.125
ARPC1A,15.0857142857143
ARPC1B,24.0
ARPC2,16.5
ARPC4,14.0869565217391
ARPC5,9.77777777777778
ARPC5L,3.17460317460317
ARPIN,4.0
ARPP19,5.56521739130435
ARPP21,2.63157894736842
ARRB1,3.2258064516129
ARRB2,8.53333333333333
ARRDC1,5.2
ARRDC1-AS1,3.38983050847458
ARRDC2,2.94117647058824
ARRDC3,2.06185567010309
ARRDC4,2.1505376344086
ARSB,22.0
ARSG,3.50877192982456
ARSJ,2.38095238095238
ARSK,6.33333333333333
ARSL,10.4242424242424
ARTN,2.32558139534884
ARV1,3.50877192982456
ASAH1,24.0
ASAP1,3.27868852459016
ASAP2,2.85714285714286
ASAP3,3.84615384615385
ASB1,2.73972602739726
ASB13,4.36363636363636
ASB14,3.03030303030303
ASB16,2.94117647058824
ASB16-AS1,2.94117647058824
ASB18,2.27272727272727
ASB3,2.8169014084507
ASB6,3.03030303030303
ASB7,2.12765957446809
ASB8,2.66666666666667
ASB9,15.8918918918919
ASCC1,5.05263157894737
ASCC2,10.3157894736842
ASCC3,6.90909090909091
ASF1A,2.73972602739726
ASF1B,5.45454545454546
ASH1L,3.33333333333333
ASH2L,6.81481481481481
ASIC1,3.44827586206897
ASIC2,3.38983050847458
ASIC3,2.53164556962025
ASIP,3.7037037037037
ASL,3.38983050847458
ASNS,21.4285714285714
ASNSD1,4.0
ASPH,12.0
ASPHD1,24.0
ASPM,3.27868852459016
ASPN,2.29885057471264
ASPSCR1,3.63636363636364
ASRGL1,8.375
ASS1,24.0
ASTE1,2.53164556962025
ASTN1,18.6666666666667
ASTN2,2.38095238095238
ASXL1,2.77777777777778
ASXL2,2.98507462686567
ATAD1,5.6
ATAD2,3.7037037037037
ATAD3A,8.28571428571428
ATAD3B,10.4
ATAD5,2.29885057471264
ATE1,3.33333333333333
ATF1,2.66666666666667
ATF2,3.84615384615385
ATF3,2.24719101123596
ATF4,4.71428571428571
ATF5,3.63636363636364
ATF6,10.375
ATF7,4.76923076923077
ATF7IP,3.27868852459016
ATG10,2.66666666666667
ATG101,2.94117647058824
ATG12,3.63636363636364
ATG13,8.42857142857143
ATG14,2.63157894736842
ATG16L1,2.63157894736842
ATG16L2,2.66666666666667
ATG2A,4.63157894736842
ATG2B,5.5
ATG3,11.4545454545455
ATG4A,5.33333333333333
ATG4C,2.77777777777778
ATG4D,7.28571428571429
ATG5,3.125
ATG7,2.77777777777778
ATG9A,14.6666666666667
ATIC,16.3076923076923
ATL1,2.66666666666667
ATL2,2.7027027027027
ATL3,6.8
ATM,2.63157894736842
ATMIN,3.27868852459016
ATN1,9.42857142857143
ATOSA,2.40963855421687
ATOSB,2.22222222222222
ATOX1,3.17460317460317
ATP10D,10.625
ATP11A,4.44444444444444
ATP11B,4.0
ATP11C,9.64705882352941
ATP13A1,3.50877192982456
ATP13A2,8.0
ATP1A1,24.0
ATP1B1,6.36363636363636
ATP1B3,22.2
ATP23,2.40963855421687
ATP2A2,10.7142857142857
ATP2A3,7.61904761904762
ATP2B1,6.46153846153846
ATP2B4,9.37142857142857
ATP2C1,10.5454545454545
ATP5F1A,24.0
ATP5F1B,24.0
ATP5F1C,24.0
ATP5F1D,22.1052631578947
ATP5IF1,24.0
ATP5MC1,24.0
ATP5MC2,24.0
ATP5MC3,24.0
ATP5ME,24.0
ATP5MF,24.0
ATP5MG,24.0
ATP5MJ,24.0
ATP5MK,22.5
ATP5PB,24.0
ATP5PD,24.0
ATP5PF,24.0
