gene,h3k27me3_gm,h3k36me3_gm,mae_pred_gm,mae_prob_gm,h3k27me3_k5,h3k36me3_k5,mae_pred_k5,mae_prob_k5,switch,is_sig_paralog,is_nsig_paralog
CXCR4,0.9495425116378619,0.42961100112365563,1,0.8891530216780571,0.9863021028412435,0.3815282534246575,1,0.9215445959083827,MAE in both,False,True
TNNI1,0.9503451227995078,0.24377976349724437,1,0.9525937229799106,0.9843758360532934,0.17107234589041095,1,0.9704698660698587,MAE in both,False,True
FARSA,0.11514794799079672,0.8654823693081491,0,0.03399776285761053,0.29557493712879235,0.8691138698630136,0,0.0656836820442825,BAE in both,False,False
PIGA,0.4688854406335277,0.6254481245652523,0,0.3157881745278553,0.2878163625662154,0.8871468321917808,0,0.0587292576729321,BAE in both,False,False
UQCR10,0.391085665364653,0.814061747552036,0,0.11835337749989223,0.6791695649847503,0.988548801369863,0,0.15006389359114708,BAE in both,False,False
GPR150,0.8170581625555139,0.07127187115415486,1,0.965297821150666,0.17224035528920756,0.01953125,1,0.7395745425527929,MAE in both,False,True
CREBBP,0.3862164909840013,0.8348226229332762,0,0.1062613258113564,0.4832789341323773,0.7024828767123288,0,0.25050074351700974,BAE in both,False,True
KDM7A,0.7721119375033442,0.4084755738669806,1,0.8158080397161616,0.3948311841190005,0.536761558219178,0,0.3480164688084843,MAE→BAE (lost in cancer),False,True
JAGN1,0.11231205521964792,0.7865054310021938,0,0.04884187729153205,0.6698057680988817,0.9888698630136986,0,0.1452294886382926,BAE in both,False,False
KDM3A,0.08791267590561293,0.9929905291882926,0,0.016594513527804444,0.28974262935416556,0.9634524828767124,0,0.04138800918022136,BAE in both,False,True
C10ORF82,0.8784846701268125,0.1038578843169779,1,0.9679166147755495,0.9296912622398202,0.23512414383561644,1,0.9508186408613748,MAE in both,False,False
SPC25,0.19530204933383274,0.5582963240408797,0,0.17964435306023016,0.28669270693991117,0.8279644691780822,0,0.076756176015928,BAE in both,False,False
MORF4L2,0.6169939536625823,0.8294183744448607,0,0.23236039585712423,0.251912889935256,0.9800941780821918,0,0.0331413555717105,BAE in both,False,True
FDPS,0.2704264540638878,0.9281395473273049,0,0.04545207098219015,0.4862753491358553,0.9117080479452054,0,0.10769346021131802,BAE in both,False,False
LTA,0.7404355503237199,0.4199261597731286,1,0.7870437170236678,0.8559580501899513,0.2810359589041096,1,0.9202424138363717,MAE in both,False,True
VPS18,0.2992669484723634,0.8561185724222805,0,0.0706699981448238,0.2914548664990101,0.6944028253424658,0,0.14054409611996674,BAE in both,False,False
POM121C,0.03269302798437584,0.5784151104928033,0,0.09470165018225497,0.035421905933971855,0.540667808219178,0,0.11295513989432063,BAE in both,True,True
KLB,0.6495799668254053,0.46380223660977044,1,0.6756167464207143,0.5642356466370593,0.4375535102739726,1,0.6288359560414746,MAE in both,False,True
ENY2,0.03633153191717053,0.8755952699448873,0,0.023968976674406593,0.21295949489004226,0.952322345890411,0,0.032617532855276354,BAE in both,False,False
ZBTB33,0.20525442773824173,0.6610305527315533,0,0.12072961286620523,0.16801326983787254,0.9661279965753424,0,0.02571702689934809,BAE in both,False,False
IFITM3,0.24720423778693348,0.046390925143132325,1,0.7696591425755773,0.7220825084274172,0.4284567636986301,1,0.7672747749139963,MAE in both,False,True
AFMID,0.273850928353577,0.7399004762159559,0,0.10869971473258794,0.31344641232810744,0.7216930650684932,0,0.13485931241140126,BAE in both,False,False
PWWP2A,0.44325539087163573,0.7184975119053989,0,0.20878563371367825,0.2757771951415271,0.7168236301369864,0,0.12101338577132932,BAE in both,False,True
ZNF662,0.8326288190914442,0.4083685590454278,1,0.8490023954920422,0.8908448820161592,0.4064640410958904,1,0.8770942086563566,MAE in both,False,True
DPH3P1,0.04676547701856707,0.4949970570924073,0,0.14290528943021927,0.010835250682219487,0.7211579623287672,0,0.04536959185315648,BAE in both,False,False
TCERG1L,0.618866713039756,0.2298143292846059,1,0.8538584011886543,0.7991866873561988,0.08550941780821918,1,0.9602740263321909,MAE in both,False,True
GLMN,0.11043929584247418,0.6918508213387554,0,0.07513809528976101,0.06003531489111242,0.7811964897260274,0,0.04114641635119696,BAE in both,False,False
GTF3C6,0.22665739204879876,0.9447268446679865,0,0.0356243405507499,0.10690780673123228,0.9498608732876712,0,0.021992322091768053,BAE in both,False,False
ADRB1,0.8823907111134892,0.04949435496816309,1,0.9756339410950838,0.6457809406602815,0.01953125,1,0.9481738800546144,MAE in both,False,True
COQ10A,0.26935630584836,0.6078976938305956,0,0.1866838222925482,0.5974637487291989,0.7266695205479452,0,0.3173759367479303,BAE in both,False,True
ACOT6,0.8107442880838996,0.4560971694579699,1,0.8030801389976691,0.23875006688426348,0.07346960616438356,1,0.7388067158951472,MAE in both,False,True
NEU1,0.8028251912889935,0.7763925303654556,0,0.449461913045723,0.5617743057413451,0.6700556506849316,0,0.3480882629644215,BAE in both,False,True
UBR3,0.08502327572368773,0.6049012788271175,0,0.10136908844908069,0.10706832896356146,0.804955051369863,0,0.04391549406920849,BAE in both,False,True
WNT5B,0.8005778800363851,0.5664829578896677,1,0.6946712819857283,0.2350580555406924,0.5618578767123288,0,0.20102502899682154,MAE→BAE (lost in cancer),False,True
VASN,0.26743003906040985,0.5443843972390177,0,0.23748833961061044,0.18272780780138048,0.5089897260273972,0,0.20992019219889485,BAE in both,False,False
MSH2,0.08577237947455722,0.6821659799882284,0,0.07178015831732824,0.33768526940981325,0.8637093321917808,0,0.0785155655476992,BAE in both,False,True
CHCHD10,0.6077371715982663,0.46471186259296915,1,0.6375192676567911,0.42800577880036383,0.535423801369863,0,0.37973473886826914,MAE→BAE (lost in cancer),False,True
FAM65A,0.785435282786666,0.516774573278399,1,0.7324869198394266,0.6248060356359356,0.512521404109589,1,0.597801971623757,MAE in both,False,False
CACFD1,0.7968323612820376,0.32409438707260957,1,0.8809019404634543,0.9793996468510888,0.14560145547945205,1,0.9733571123061378,MAE in both,False,False
CGNL1,0.8676761731499812,0.24153245224463588,1,0.936212519769926,0.9184011985660014,0.21345248287671234,1,0.9536519663099253,MAE in both,False,True
FOXL2,0.9887634437369576,0.3177805126009952,1,0.941976939420732,0.5891165926480818,0.4824486301369863,1,0.5996514422974338,MAE in both,False,True
CA13,0.38188239071111346,0.5093905505912569,0,0.3672770458209813,0.2170260581090481,0.5415239726027398,0,0.20575605357938154,BAE in both,False,True
PEA15,0.24196051153084702,0.8178607737171598,0,0.06827612362393085,0.5851035368398523,0.8183861301369864,0,0.21991600768504374,BAE in both,False,False
MRGBP,0.27486756915832844,0.7938359462785596,0,0.08582534646462528,0.47370110760340306,0.7109375,0,0.2359058243024947,BAE in both,False,False
ZNF589,0.17999892985178448,0.9209695542832682,0,0.033407162830412986,0.2143506875702285,0.8011023116438356,0,0.06663526303222614,BAE in both,False,True
CNN3,0.819251966397346,0.47589491144523516,1,0.7927577145181922,0.8880089892450105,0.2693172089041096,1,0.9327326144059105,MAE in both,False,True
SLC38A8,0.828936807747873,0.15442238750066883,1,0.9508684928775202,0.9935256032960565,0.2189105308219178,1,0.9641801698326153,MAE in both,False,True
LARP7,0.2526619936861255,0.8578308095671251,0,0.05906605423516012,0.03932794692064851,0.828125,0,0.03043746287615972,BAE in both,False,False
OSR1,0.9899941141848146,0.252180426989138,1,0.9575089058023261,0.9754400984536358,0.1876605308219178,1,0.96693081339574,MAE in both,False,True
TFAP2D,0.7086521483225426,0.18144362994274707,1,0.9134582422035868,0.5244796404301996,0.3723779965753425,1,0.6663663601872182,MAE in both,False,True
AP3B1,0.18139012253197068,0.6767617314998127,0,0.10368904836378762,0.136176360425919,0.6583369006849316,0,0.09586624546967011,BAE in both,False,True
TMEM56,0.7342286906736583,0.2939162073947242,1,0.8702687425153214,0.23842902241960512,0.7189640410958904,0,0.105237823222698,MAE→BAE (lost in cancer),False,False
DCUN1D4,0.3601583819358981,0.7342286906736583,0,0.1497413287567815,0.362459200599283,0.8440710616438356,0,0.0937641038853362,BAE in both,False,True
HAP1,0.9236984322328643,0.12237144844560972,1,0.9705023471618661,0.8925571191610038,0.05950342465753425,1,0.9754119439291185,MAE in both,False,False
ASTN2,0.6951682808068917,0.4088501257424153,1,0.7656058755807966,0.4662100700947081,0.3230415239726027,1,0.6694132345336088,MAE in both,False,True
PRPS1,0.5536946867141099,0.5855851035368399,0,0.43948602600067205,0.43496174220129485,0.770601455479452,0,0.16500051914010933,BAE in both,False,True
CGREF1,0.8387821713307293,0.11841190004815667,1,0.9600342541715358,0.7816897640323185,0.4168450342465753,1,0.8152757851644583,MAE in both,False,False
DLGAP1,0.6372197549360586,0.30675798598105836,1,0.8112981118380742,0.556851623949917,0.3821703767123288,1,0.6837202279009335,MAE in both,False,True
MORN4,0.6329926694847237,0.22783455508587938,1,0.8618224612945526,0.12729413023703784,0.4830372431506849,0,0.19534090506461316,MAE→BAE (lost in cancer),False,False
CXCL3,0.9842153138209642,0.24527797099898335,1,0.9579646250993599,0.14313232382685,0.6840753424657534,0,0.08759082332758265,MAE→BAE (lost in cancer),False,True
ST14,0.8932527155010969,0.329338113328696,1,0.9132903292685256,0.9875327732891005,0.24320419520547945,1,0.9588914880356065,MAE in both,False,True
PLTP,0.5640216169939537,0.4483921023061694,1,0.6160954160524782,0.28631815506447644,0.5524935787671232,0,0.24376833918036736,MAE→BAE (lost in cancer),False,True
LMO3,0.5168815880999519,0.3487077960297501,1,0.6853510679626236,0.04762159559098935,0.2047838184931507,0,0.41125162898697654,MAE→BAE (lost in cancer),False,True
ZRANB2,0.08785916849483653,0.9600834715608112,0,0.019453111011705364,0.1583284284873455,0.9947024828767124,0,0.021596981133271225,BAE in both,False,False
STX2,0.40280378832468294,0.6915832842848735,0,0.20442698340800752,0.4193375782545883,0.8623180650684932,0,0.10577707207792585,BAE in both,False,True
KBTBD11,0.7153940820803681,0.13671143453368292,1,0.9310816436589947,0.9356840922467762,0.1812392979452055,1,0.9627000288928859,MAE in both,False,True
KCTD14,0.7026058109048103,0.3344748247632297,1,0.8290906647976602,0.5635400502969661,0.4519477739726027,1,0.6114954972555585,MAE in both,False,True
DAND5,0.9036866606024935,0.38156134624645516,1,0.8945753612759811,0.6466370592327038,0.0721853595890411,1,0.9340545764141382,MAE in both,False,True
MAG,0.7177484081545294,0.10969019209160469,1,0.9396732701160019,0.7925517684199261,0.4716930650684932,1,0.7785583004460119,MAE in both,False,True
USP17L25,0.009684841350527048,0.012761517470169619,1,0.6076898166208504,0.010835250682219487,0.01953125,1,0.6007997988060629,MAE in both,False,False
CSNK2A3,0.05275830702552303,0.5764888437048531,0,0.10255882054558867,0.8585799133179945,0.01953125,1,0.9768826758934611,BAE→MAE (gained in cancer),False,True
ZNF771,0.2908662849804698,0.5370003745518754,0,0.2615479847205765,0.6557333190646905,0.8649400684931506,0,0.22836530574601682,BAE in both,False,True
SUCLG1,0.24800684894857938,0.8838354112044519,0,0.05143683739527493,0.3319064690459629,0.9548908390410958,0,0.050476066154490476,BAE in both,False,False
CDC25B,0.49002086789020277,0.5406388784846702,0,0.43231982871234254,0.2930600888223019,0.5174443493150684,0,0.28231626358444356,BAE in both,False,True
NUTM2A,0.009684841350527048,0.03044571673176735,1,0.5867443759246825,0.010835250682219487,0.01953125,1,0.6007997988060629,MAE in both,False,True
CYTH1,0.2703194392423351,0.8090320509390551,0,0.07882388341143601,0.4692064850981861,0.5608411815068494,0,0.3884659833328022,BAE in both,False,True
TCP11L2,0.6980041735780406,0.4789983412702659,1,0.7004334764648033,0.8423671678527476,0.4301155821917808,1,0.8399708601674468,MAE in both,False,True
STAT5A,0.28203756220236503,0.7211193750334421,0,0.12138327556821576,0.6059714270426454,0.9520012842465754,0,0.13680626406640872,BAE in both,False,True
DNMT3B,0.6982182032211461,0.42661458612017766,1,0.7517892112585519,0.4849376638664455,0.9106378424657534,0,0.10769423113894194,MAE→BAE (lost in cancer),False,True
IL18R1,0.4674407405425651,0.6513457113810263,0,0.2877337161093882,0.723420193696827,0.5326412671232876,1,0.664892607336698,BAE→MAE (gained in cancer),False,True
NUP210L,0.6121782866927069,0.4310557012146182,1,0.6787056475305763,0.5421905933971856,0.4447238869863014,1,0.5999340666661847,MAE in both,False,True
KLHL5,0.2464016266252876,0.6476001926266788,0,0.1471002276055818,0.2221092621328054,0.555222602739726,0,0.1981076873828034,BAE in both,False,True
ZDHHC13,0.2658248167371181,0.818288833003371,0,0.0743506254951313,0.16806677724864894,0.7100813356164384,0,0.08522429388835462,BAE in both,False,True
SLC2A4,0.934560436620472,0.13275188613622987,1,0.9702612215703593,0.6811493391834769,0.1481164383561644,1,0.9177786612345413,MAE in both,False,True
SPRY1,0.9523248969982343,0.47600192626678794,1,0.8658327244215209,0.32259617957087056,0.3521511130136986,0,0.49930182896026587,MAE→BAE (lost in cancer),False,True
CATSPER1,0.9501310931564022,0.04093316924394028,1,0.9819880666731867,0.8231044999732463,0.1541095890410959,1,0.9498588643434817,MAE in both,False,False
C1ORF168,0.748354647118626,0.22762052544277384,1,0.9076599841729124,0.4820482636845203,0.367990154109589,1,0.6333189690302238,MAE in both,False,False
LIN54,0.17941034833324415,0.6839852319546257,0,0.09972780832619955,0.1540478356252341,0.7655179794520548,0,0.06288198906249932,BAE in both,False,True
POLA2,0.4514420247204238,0.926106265717802,0,0.08927984274710128,0.4349082347905185,0.9345569349315068,0,0.08097894802831307,BAE in both,False,False
TARS,0.2744395098721173,0.9937931403499385,0,0.03382598488783224,0.3144095457220825,0.9933112157534246,0,0.03944889297440233,BAE in both,False,False
MMP14,0.7052276740328536,0.43571084595216436,1,0.7485617870254274,0.4527262025790572,0.3991331335616438,1,0.5689973110191548,MAE in both,False,False
SZRD1,0.1740060998448285,0.7278613087912675,0,0.08035097370900159,0.4268821231740596,0.6362906678082192,0,0.27055060544311155,BAE in both,False,False
MPDZ,0.4365134571138103,0.2530365455615603,1,0.7177764948177879,0.11124190700412007,0.5511023116438356,0,0.14015307325840298,MAE→BAE (lost in cancer),False,True
PRSS37,0.8738295253892664,0.47605543367756437,1,0.8257130117088447,0.5416020118786452,0.4954516267123288,1,0.5381898499711024,MAE in both,False,True
TMEM263,0.19032586013162822,0.7891272941302371,0,0.06445863875526016,0.08218738295253893,0.7472709760273972,0,0.05243186085094366,BAE in both,False,False
PDPR,0.06709829311359623,0.6762801648028252,0,0.0688725968116792,0.05099256246990208,0.5860980308219178,0,0.09767055798963022,BAE in both,False,True
RINL,0.5274225480229011,0.6168869388410295,0,0.3773637759957183,0.4004494622505217,0.516962756849315,0,0.3756238178796904,BAE in both,False,True
SSNA1,0.1662475252822516,0.40799400716999307,0,0.290518235502645,0.6881053025844079,0.452322345890411,1,0.7194614354917107,BAE→MAE (gained in cancer),False,False
UHMK1,0.23452298143292846,0.9337043180480497,0,0.03867100433331422,0.27192466156562684,0.976294948630137,0,0.036409554996471055,BAE in both,False,True
TRAPPC3,0.4470544170367596,0.6103055273155332,0,0.31334960622794716,0.4176253411097437,0.6710188356164384,0,0.23160486204125702,BAE in both,False,True
GMPS,0.2564610198512494,0.7928728128845846,0,0.08066286455453206,0.22221627695435817,0.9144370719178082,0,0.040436108764859154,BAE in both,False,False
